ID,NAME,STATE_NAME,ST_ABBREV,esri_dma_P,TOTPOP_CY,TtlHsptls,Circultry_2005,Circultry_2006,Circultry_2007,Circultry_2008,Circultry_2009,Circultry_2010,Circultry_2011,Circultry_2012,Circultry_2013,Circultry_2014,Circultry_2015,Circultry_2016,Circultry_2017,Circultry_2018,Circultry_2019,Circultry_2020,Circultry_2021,Circultry_2022,Shape_Length_1,Shape_Area_1,Area_DMA_SqMiles,ID_Long,OBJECTID_1,ID_1,E_Total_population_SX_AGE_2010,E_HSPNC_Total_population_2010,E_NOTHSPNC_White_alone_2010,P_NOTHSPNC_White_alone_2010,E_Under35_SX_AGE_2010,E_Total_population_SX_AGE_2011,E_HSPNC_Total_population_2011,E_NOTHSPNC_White_alone_2011,P_NOTHSPNC_White_alone_2011,E_Under35_SX_AGE_2011,E_Total_population_SX_AGE_2012,E_HSPNC_Total_population_2012,E_NOTHSPNC_White_alone_2012,P_NOTHSPNC_White_alone_2012,E_Under35_SX_AGE_2012,E_Total_population_SX_AGE_2013,E_HSPNC_Total_population_2013,E_NOTHSPNC_White_alone_2013,P_NOTHSPNC_White_alone_2013,E_Under35_SX_AGE_2013,E_Total_population_SX_AGE_2014,E_HSPNC_Total_population_2014,E_NOTHSPNC_White_alone_2014,P_NOTHSPNC_White_alone_2014,E_Under35_SX_AGE_2014,E_Total_population_SX_AGE_2015,E_HSPNC_Total_population_2015,E_NOTHSPNC_White_alone_2015,P_NOTHSPNC_White_alone_2015,E_Under35_SX_AGE_2015,E_Total_population_SX_AGE_2016,E_HSPNC_Total_population_2016,E_NOTHSPNC_White_alone_2016,P_NOTHSPNC_White_alone_2016,E_Under35_SX_AGE_2016,E_Total_population_SX_AGE_2017,E_HSPNC_Total_population_2017,E_NOTHSPNC_White_alone_2017,P_NOTHSPNC_White_alone_2017,E_Under35_SX_AGE_2017,E_Total_population_SX_AGE_2018,E_HSPNC_Total_population_2018,E_NOTHSPNC_White_alone_2018,P_NOTHSPNC_White_alone_2018,E_Under35_SX_AGE_2018,E_Total_population_SX_AGE_2019,E_HSPNC_Total_population_2019,E_NOTHSPNC_White_alone_2019,P_NOTHSPNC_White_alone_2019,E_Under35_SX_AGE_2019,OBJECTID_12,FastFood,ID_12,McDonalds_2010,McDonalds_2011,McDonalds_2012,McDonalds_2013,McDonalds_2014,McDonalds_2015,McDonalds_2016,McDonalds_2017,McDonalds_2018,McDonalds_2019,McDonalds_2020,McDonalds_2021,McDonalds_2022,Taco_Bell_2010,Taco_Bell_2011,Taco_Bell_2012,Taco_Bell_2013,Taco_Bell_2014,Taco_Bell_2015,Taco_Bell_2016,Taco_Bell_2017,Taco_Bell_2018,Taco_Bell_2019,Taco_Bell_2020,Taco_Bell_2021,Taco_Bell_2022,Burger_King_2010,Burger_King_2011,Burger_King_2012,Burger_King_2013,Burger_King_2014,Burger_King_2015,Burger_King_2016,Burger_King_2017,Burger_King_2018,Burger_King_2019,Burger_King_2020,Burger_King_2021,Burger_King_2022,Carls_Junior_2010,Carls_Junior_2011,Carls_Junior_2012,Carls_Junior_2013,Carls_Junior_2014,Carls_Junior_2015,Carls_Junior_2016,Carls_Junior_2017,Carls_Junior_2018,Carls_Junior_2019,Carls_Junior_2020,Carls_Junior_2021,Carls_Junior_2022,Jack_in_the_Box_2010,Jack_in_the_Box_2011,Jack_in_the_Box_2012,Jack_in_the_Box_2013,Jack_in_the_Box_2014,Jack_in_the_Box_2015,Jack_in_the_Box_2016,Jack_in_the_Box_2017,Jack_in_the_Box_2018,Jack_in_the_Box_2019,Jack_in_the_Box_2020,Jack_in_the_Box_2021,Jack_in_the_Box_2022,KFC_2010,KFC_2011,KFC_2012,KFC_2013,KFC_2014,KFC_2015,KFC_2016,KFC_2017,KFC_2018,KFC_2019,KFC_2020,KFC_2021,KFC_2022,Shape_Length,Shape_Area
771,"Yuma, AZ-El Centro, CA",Arizona,AZ,10000.605600000000777,374355,4,2766,2637,2635,2703,2879,3125,3007,3231,3596,3575,0,3538,3241,3560,7425,4979,5574,6002,1119635.230495557421818,36837409334.508964538574219,10000.601643609363236,771,1,771,167985.383700000005774,167985.383700000005774,24625.553779999998369,575.984423300000003,91651.213719999999739,171271.939600000012433,171271.939600000012433,24362.518140000000130,565.974194000000011,92866.637929999997141,173412.551999999996042,173412.551999999996042,23874.630180000000109,554.988392699999963,11581.087349999999788,175123.902000000001863,175123.902000000001863,23454.770629999999073,567.176955000000021,94714.630139999993844,176946.563599999994040,146.939926100000008,22955.757170000000770,546.679752799999960,95456.874670000004699,178125.848499999992782,178125.848499999992782,22435.747210000001360,524.978743900000040,95673.278609999993932,178729.621000000013737,178729.621000000013737,21332.556570000000647,501.978182000000004,96143.379799999995157,179884.738899999996647,6494.526727999999821,145172.835099999996601,2320.674740999999813,81630.266279999996186,180142.204700000002049,6240.572503000000324,145279.120900000008987,2316.672895000000153,92730.833199999993667,180626.888999999995576,6167.567372000000432,146699.605600000009872,2309.672836000000189,92069.903669999999693,14,"Yuma AZ-El Centro, CA",771,NA,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.299493163000000,0.139310229000000,0.356591672000000,0.000000000000000,0.270231217000000,0.180140200000000,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.047125940000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3108889.635193698108196,283954624647.821655273437500
866,"Fresno-Visalia, CA",California,CA,17835.825899999999820,1965322,46,24628,24432,24253,24955,25693,16227,27765,27918,27598,28547,0,30534,31421,33322,68968,52136,56461,60120,1358597.770001567667350,72069851672.157745361328125,17835.822303697048483,866,13,866,1906056.352999999886379,1906056.352999999886379,667673.799400000018068,14088.635309999999663,1068158.658000000054017,1930673.192999999970198,1930673.192999999970198,662402.541699999943376,13913.606990000000224,1079367.814000000013039,1949554.431000000098720,1949554.431000000098720,655867.144699999946170,13472.621289999999135,122167.752699999997276,1966228.439000000013039,1966228.439000000013039,650198.657499999972060,13407.936079999999492,1093335.297000000020489,1983319.206999999936670,1653.969503999999915,644534.835599999991246,13142.351880000000165,1097911.040000000037253,1996611.915000000037253,1996611.915000000037253,638364.619500000029802,12914.669330000000627,1099924.354999999981374,2005171.990999999921769,2005171.990999999921769,631318.211099999956787,12693.670389999999315,1100301.550999999977648,2020066.561999999918044,98064.769140000003972,1068822.962999999988824,19533.952860000001237,843824.124199999962002,2030278.263000000035390,99027.710040000005392,1079721.347000000067055,19665.939669999999751,1354022.814999999944121,2041310.828999999910593,98244.675159999998868,1089178.982000000076368,19791.931469999999536,976266.684200000017881,4,"Fresno-Visalia, CA",866,NA,0,0.000000000000000,0.000000000000000,0.000000000000000,0.060784467000000,0.065086256000000,0.113807402000000,0.244533912000000,0.160576539000000,0.112219602000000,0.121604047000000,0.164290544000000,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.072889760000000,0.000000000000000,0.068779312000000,0.086891338000000,0.067623874000000,0.050756267000000,0.040712672000000,NA,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.033956225000000,0.085324520000000,0.097646737000000,0.000000000000000,0.061317825000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.068370396000000,0.048971182000000,0.000000000000000,0.035385087000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.045453097000000,0.041576962000000,0.043895647000000,0.038255903000000,3576517.131159676238894,499672246877.162841796875000
800,"Bakersfield, CA",California,CA,5797.427300000000287,767219,21,10311,10763,10866,10678,10917,11313,11573,11993,12191,12760,0,13343,14763,15460,32568,25474,27029,26032,830828.551008795038797,22654515999.456157684326172,5797.426158698649488,800,2,800,734859.526100000017323,734859.526100000017323,277220.020900000003166,5518.713872999999694,416385.773999999975786,747348.528599999961443,747348.528599999961443,275124.752500000002328,5387.954421000000366,422336.929599999974016,757693.664100000052713,757693.664100000052713,273496.479400000011083,5276.298337000000174,47877.045769999996992,765296.672299999976531,765296.672299999976531,271149.467899999988731,5226.813777000000300,433199.539300000004005,775110.515999999945052,572.254319200000054,269825.812099999981001,5102.488196999999673,437301.375200000009499,781658.583300000056624,781658.583300000056624,268733.020499999984168,5038.519599000000198,439651.333700000017416,786447.940300000016578,786447.940300000016578,265412.851699999999255,4953.973952000000281,441748.307399999990594,793655.559499999973923,45843.571000000003551,405279.038699999975506,6650.422335999999632,625769.681800000020303,797967.836499999975786,46417.430449999999837,410421.620300000009593,6691.343616000000111,622680.494199999957345,801460.324099999968894,46982.595670000002428,416650.114400000020396,6777.251274000000194,629712.403599999961443,1,"Bakersfield, CA",800,NA,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.184188295000000,0.118994154000000,0.072846584000000,0.168197858000000,0.167543354000000,0.222804985000000,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.079545653000000,0.000000000000000,0.039898418000000,NA,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2231223.778505334630609,163006279028.147552490234375
802,"Eureka, CA",California,CA,4597.406899999999951,163633,10,2969,2949,2794,2864,2724,2876,3077,3555,3527,3724,0,3835,3860,3906,6977,5156,5252,5881,1048505.660569134866819,20885710549.846694946289062,4597.406340182777058,802,3,802,146466.253499999991618,146466.253499999991618,112039.451900000000023,2539.920012000000042,68405.222469999993336,147159.959499999997206,147159.959499999997206,111878.110799999994924,2520.386011000000053,68802.770439999992959,148125.755000000004657,148125.755000000004657,111705.215800000005402,2480.600073000000066,9164.335656999999628,148571.633700000005774,148571.633700000005774,111301.198900000003050,2488.510608000000047,69201.960819999992964,148748.218400000012480,132.909988900000002,110602.227299999998650,2487.321630999999797,69150.889160000006086,148895.441599999991013,148895.441599999991013,109833.002800000002026,2479.368509999999787,69137.468179999996210,148782.861899999988964,148782.861899999988964,109224.877800000002026,2470.032264999999825,68720.409299999999348,149142.544900000008056,3568.131300000000010,15041.672450000000026,318.449687900000015,51572.685940000003029,149051.247100000007777,4249.715860000000248,14911.013129999999364,327.696291599999995,51217.314089999999851,149173.340800000005402,4472.996603999999934,14732.846320000000560,322.159431100000006,50683.414530000001832,3,"Eureka, CA",802,NA,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2591867.538110399618745,128154049173.275344848632812
803,"Los Angeles, CA",California,CA,48995.611900000003516,17642805,358,239137,238323,241089,245801,251491,135864,267323,271336,269900,275694,0,289477,297510,308426,641357,457218,505757,527480,3443145.903640305623412,190742346027.843841552734375,48995.600932462730270,803,4,803,17232800.000000000000000,17232800.000000000000000,5889896.510999999940395,132480.016000000003260,8841096.678999999538064,17349784.480000000447035,17349784.480000000447035,5847765.156000000424683,130575.464699999996810,8842952.001000000163913,17488150.890000000596046,17488150.890000000596046,5812195.690000000409782,126980.685500000006869,1040166.072000000043772,17626374.920000001788139,17626374.920000001788139,5790361.088999999687076,127226.069199999998091,8872663.023000000044703,17798253.030000001192093,15496.258390000000873,5770132.097000000067055,125444.301600000006147,8891792.089999999850988,17936510.570000000298023,17936510.570000000298023,5743710.438000000081956,123828.541100000002189,8895084.366000000387430,18011449.850000001490116,18011449.850000001490116,5707093.719999999739230,122375.206600000004983,8882033.403000000864267,18134459.000000000000000,1417702.503000000026077,6724382.218000000342727,137955.949900000006892,6734462.236999999731779,18177801.989999998360872,1423292.527000000001863,6746396.492999999783933,138235.920600000012200,6685469.637000000104308,18205975.149999998509884,1426922.517999999923632,6780586.279000000096858,138637.426799999986542,6613098.580000000074506,5,"Los Angeles, CA",803,NA,0,0.039719195000000,0.144259835000000,0.023683175000000,0.110929759000000,0.151658050000000,0.281190803000000,0.259181821000000,0.262843721000000,0.228328255000000,0.230022114000000,0.279177330000000,NA,0.009963353000000,0,0,0.034627586000000,0.082616287000000,0.034583022000000,0.050339320000000,0.044354658000000,0.036242377000000,0.036843642000000,0.037597235000000,0.020402600000000,NA,0,0,0,0,0.023282262000000,0.038358018000000,0.041428543000000,0.013673926000000,0.041382392000000,0.053261857000000,0.042820608000000,0.029294591000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.019230769000000,0,0,0.019573607000000,0.051993285000000,0.047369146000000,0.048413077000000,0.043406275000000,0.057411266000000,0.053254555000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.021702549000000,0.016617261000000,0.032826462000000,0.020625666000000,0.021557201000000,9275251.665540708228946,1379038104475.180175781250000
804,"Palm Springs, CA",California,CA,1338.020800000000008,429617,8,7963,7789,8316,8887,8448,0,9246,9748,9521,9775,0,10187,11120,11034,19618,14794,16387,17992,427865.329038137977477,5017576432.426727294921875,1338.020418743170239,804,5,804,410493.170500000007451,410493.170500000007451,182151.996799999993527,5492.125412000000324,182554.413900000014110,418092.776000000012573,418092.776000000012573,180557.983000000007451,5403.788118999999824,186848.399399999994785,424276.840199999976903,424276.840199999976903,180383.702300000004470,5298.236065000000053,35407.428310000002966,428626.151599999982864,428626.151599999982864,177026.489499999996042,5213.129880999999841,192169.355299999995623,438022.953900000022259,379.559907399999986,175646.011399999988498,5116.978406999999606,195510.396799999987707,445888.250600000028498,445888.250600000028498,178546.957099999999627,5111.880772000000434,197530.989499999996042,445821.669700000027660,445821.669700000027660,180312.657700000010664,5119.511032999999770,191466.537600000010571,445741.465000000025611,15425.631139999999505,213540.562299999990501,4200.835441999999603,143436.419099999999162,445384.036100000026636,15581.215959999999541,210745.105799999990268,4188.019148000000314,135724.863899999996647,446922.566999999980908,16462.707500000000437,208093.541900000011083,4124.166342999999870,130478.964999999996508,8,"Palm Springs, CA",804,NA,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.085315767000000,0.000000000000000,0.000000000000000,0.000000000000000,0.296440669000000,0.000000000000000,0.082756137000000,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1176329.366814195178449,37859726901.897964477539062
807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,159,97152,97497,96358,97576,100689,42662,104278,106934,109420,109794,0,111734,114358,117598,243558,181850,205381,215251,2786978.109578226692975,47315385387.866729736328125,11147.891989087011098,807,6,807,6770027.691999999806285,6770027.691999999806285,2988302.314999999944121,69140.652990000002319,3113809.186999999918044,6845373.792000000365078,6845373.792000000365078,2978486.674000000115484,68303.535749999995460,3135211.273000000044703,6931912.010999999940395,6931912.010999999940395,2973812.777999999932945,66865.307730000000447,416574.917000000015832,7014232.343999999575317,7014232.343999999575317,2974821.776999999769032,66933.306859999996959,3187562.649999999906868,7111593.631000000052154,6353.500117999999929,2976171.117000000085682,66187.275320000000647,3216959.325999999884516,7203225.798000000417233,7203225.798000000417233,2982417.558000000193715,65598.461999999999534,3244963.697999999858439,7271571.995000000111759,7271571.995000000111759,2984045.487999999895692,65157.548089999996591,3269799.063000000081956,7363930.253999999724329,528248.389100000029430,1285605.127000000094995,25404.730410000000120,2312319.356000000145286,7404871.361999999731779,525843.805900000035763,1282543.516000000061467,25199.713250000000698,2300595.245000000111759,7435040.569000000134110,523760.523300000000745,1270458.371999999973923,24972.559890000000451,2283095.112000000197440,12,"San Francisco-Oakland-San Jose, CA",807,NA,0,0.068459100000000,0.108694872000000,0.169938237000000,0.120014223000000,0.099644705000000,0.264367422000000,0.181632324000000,0.197682946000000,0.134119373000000,0.246366642000000,0.269626322000000,NA,0.000000000000000,0,0,0.047199126000000,0.116736465000000,0.034073767000000,0.049814952000000,0.046648045000000,0.138536752000000,0.035051249000000,0.038268614000000,0.022779071000000,NA,0,0,0,0,0.040228213000000,0.059883551000000,0.045354778000000,0.015948793000000,0.051371245000000,0.059379773000000,0.060216479000000,0.043544542000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.014257402000000,0.021367103000000,0.034377608000000,0.101384652000000,0.021838500000000,0.049630528000000,0.039487705000000,NA,NA,0,0,NA,0.010600050000000,0,0,0.024799710000000,0.019785466000000,0.025069784000000,0.019241928000000,0.031513993000000,7184540.982568319886923,311267857009.972229003906250
811,"Reno, NV",Nevada,NV,48642.682999999997264,724496,5,1114,1048,1114,1133,1085,879,1010,985,1086,1082,0,1199,1238,1229,2575,1931,2226,2425,2612021.910610678140074,215810629663.312530517578125,48642.674095815447799,811,7,811,80638.201920000006794,80638.201920000006794,55024.075750000003609,1648.114237999999887,37910.814290000002075,80061.260060000000522,80061.260060000000522,53726.006809999998950,1633.128521000000092,37761.310199999999895,79703.964959999997518,79703.964959999997518,52776.868869999998424,1612.166547000000037,7622.283335000000079,78698.714200000002165,78698.714200000002165,51967.922809999996389,1632.217857000000095,35747.942260000003444,78023.744089999992866,75.681724689999996,51586.112690000001749,1654.021884000000000,35290.458680000003369,77459.263380000003963,77459.263380000003963,50609.282050000001618,1655.790027999999893,35034.415990000001329,76933.302739999999176,76933.302739999999176,50462.994279999998980,1635.883685000000014,34949.206429999998363,76440.145619999995688,3376.609691999999995,14385.093119999999544,336.379055499999993,25628.397460000000137,76696.280750000005355,3350.744236000000001,14550.299049999999625,330.435056999999972,25472.483540000001085,76379.887969999996130,3483.142107000000124,15062.887629999999263,335.296244199999990,25336.269189999999071,9,"Reno, NV",811,NA,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.068558676000000,0.079353928000000,0.000000000000000,0.000000000000000,0.087210984000000,0.052769602000000,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6574170.866524497047067,1356521117580.395263671875000
813,"Medford-Klamath Falls, OR",Oregon,OR,26918.358700000000681,430049,6,1055,971,1028,944,842,0,854,914,1045,989,0,1046,970,1079,1918,1521,1791,1624,2281805.143629753496498,127976066854.054809570312500,26918.354715115772706,813,8,813,44691.074169999999867,44691.074169999999867,35854.829059999996389,1100.030862999999954,16571.367610000001150,44688.064420000002428,44688.064420000002428,35688.824039999999513,1094.030850999999984,16638.348229999999603,44674.033409999996366,44674.033409999996366,35501.771789999998873,1091.029669000000013,5553.189989000000423,44503.994310000001860,44503.994310000001860,35153.722679999998945,1082.729462999999896,16703.323629999998957,44262.089549999996962,44.000995529999997,34749.762139999998908,1076.328483999999889,16616.414669999998296,43896.065959999999905,43896.065959999999905,34244.747519999997166,1065.028559999999970,16387.429889999999432,43669.100550000002841,43669.100550000002841,33896.773860000001150,1057.028385000000071,16395.430430000000342,43531.169390000002750,1009.015510999999947,4422.215836999999738,184.007038499999993,13245.398279999999431,43541.074439999996684,1083.012619999999970,4463.204111000000012,186.007096600000011,13202.327489999999671,43468.979720000002999,1095.029741000000058,4679.099694999999883,191.004214800000000,13220.249410000000353,6,"Medford-Klamath Falls, OR",813,NA,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.147956435000000,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.125183032000000,0.000000000000000,0.062341278000000,NA,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.123524966000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,NA,NA,0,0,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5532416.146211273968220,750929057601.302246093750000
825,"San Diego, CA",California,CA,4239.051900000000387,3110401,46,39109,39362,40368,40927,41291,0,44040,44407,45913,47216,0,48332,49569,51766,107240,80930,91208,93797,730701.331600539037026,15665256901.728002548217773,4239.050869722716925,825,9,825,2990750.388999999966472,2990750.388999999966472,1479529.266000000061467,31300.956539999999222,1517249.952000000048429,3029859.078000000212342,3029859.078000000212342,1479492.270999999949709,30905.096229999999196,1532574.347000000067055,3068642.828999999910593,3068642.828999999910593,1481614.632999999914318,30253.077369999999064,179432.874600000010105,3105696.743999999947846,3105696.743999999947846,1484037.639999999897555,30300.495500000000902,1560674.516000000061467,3150168.876000000163913,2630.231858000000102,1488969.654000000096858,30015.531070000000909,1576890.029000000096858,3190784.018999999854714,3190784.018999999854714,1493783.791999999899417,29735.864059999999881,1590189.861000000033528,3220555.992999999783933,3220555.992999999783933,1497908.490999999921769,29500.066820000000007,1597879.311999999918044,3250558.683000000193715,205564.309299999993527,971647.269199999980628,18478.905399999999645,1142294.506999999983236,3270001.351999999955297,209428.317500000004657,981603.634700000053272,18613.907859999999346,1136602.675999999977648,3283421.555999999865890,210926.889599999994971,988368.521199999959208,18656.934939999999187,1128150.200999999884516,11,"San Diego, CA",825,NA,0,0.000000000000000,0.000000000000000,0.031876273000000,0.000000000000000,0.205184421000000,0.068849003000000,0.199014612000000,0.084987682000000,0.248048733000000,0.105390174000000,0.130500062000000,NA,0.000000000000000,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.035118582000000,0.042562231000000,0.041153730000000,0.020434529000000,NA,0,0,0,0,0.036068878000000,0.000000000000000,0.000000000000000,0.013090438000000,0.053205933000000,0.063338424000000,0.036325184000000,0.025390761000000,NA,NA,NA,0,NA,NA,NA,NA,0.000000000000000,0,NA,NA,NA,NA,NA,0,0.000000000000000,0,0,0.000000000000000,0.073679667000000,0.083977459000000,0.049739463000000,0.060221318000000,0.056227107000000,0.069773410000000,NA,NA,0,0,NA,0.028238562000000,0,0,0.000000000000000,0.022726549000000,0.030519738000000,0.018143534000000,0.000000000000000,2026915.500499630114064,120281554109.922317504882812
