,GEO_ID,E_Total_population_SX_AGE_2020,E_HSPNC_Total_population_2020,E_NOTHSPNC_White_alone_2020,P_NOTHSPNC_White_alone_2020,E_Under35_SX_AGE_2020,E_Total_population_SX_AGE_2021,E_HSPNC_Total_population_2021,E_NOTHSPNC_White_alone_2021,P_NOTHSPNC_White_alone_2021,E_Under35_SX_AGE_2021,E_Total_population_SX_AGE_2022,E_HSPNC_Total_population_2022,E_NOTHSPNC_White_alone_2022,P_NOTHSPNC_White_alone_2022,E_Under35_SX_AGE_2022
305,6001442501,3759,36,651,17.3,984,3516,80,805,22.9,925.1,3280,3280,3280,3280,846.8
306,6001442502,3903,108,1057,27.1,1166.9,3713,169,773,20.8,985,3866,3866,3866,3866,938.3
307,6001442601,4040,15,1183,29.3,1315.4,3857,69,918,23.8,1275.8,3924,3924,3924,3924,1330.5
308,6001442602,5113,640,1076,21,1735.4,4819,501,823,17.1,1430.6,4663,4663,4663,4663,1365
309,6001442700,3035,151,320,10.5,890.4,2962,107,276,9.3,896.4,3139,3139,3139,3139,973
310,6001442800,2994,111,471,15.7,1011.6,2973,49,345,11.6,1043.8,3115,3115,3115,3115,1024.7
311,6001442900,8084,461,875,10.8,2616.3,7544,454,973,12.9,2421.3,7780,7780,7780,7780,2392.8
312,6001443001,2832,204,764,27,1019.8,2764,241,810,29.3,1010.5,2762,2762,2762,2762,970.1
313,6001443002,6932,217,1168,16.8,2111.5,6688,167,1187,17.7,2169.4,6599,6599,6599,6599,2170
314,6001443102,5019,26,181,3.6,1631.9,4906,31,196,4,1508.1,4816,4816,4816,4816,1524.9
315,6001443103,4097,16,86,2.1,1101.8,4111,36,98,2.4,1095.5,4125,4125,4125,4125,1070.6
316,6001443104,5511,294,38,0.7,2009.6,5723,336,23,0.4,2076.2,5567,5567,5567,5567,1905.2
317,6001443105,4808,41,93,1.9,1350.3,4738,25,96,2,1358.3,4668,4668,4668,4668,1310.8
318,6001443200,4157,0,11,0.3,1280.9,3847,0,20,0.5,1099.1,3611,3611,3611,3611,1107
319,6001443301,4467,64,246,5.5,1429.6,4313,117,261,6.1,1384.5,4399,4399,4399,4399,1452.2
320,6001443321,3314,114,317,9.6,1250.9,3290,41,254,7.7,1228.5,3372,3372,3372,3372,1276.8
321,6001443322,3284,50,163,5,1109.1,3219,53,142,4.4,1077.5,3311,3311,3311,3311,1103.1
322,6001444100,7667,364,1600,20.9,1846,7875,656,1449,18.4,1821.6,7211,7211,7211,7211,1710.4
323,6001444200,7238,67,1375,19,1976.3,7058,186,1551,22,1921.8,6782,6782,6782,6782,1788
324,6001444301,3855,300,669,17.4,1299,3841,220,706,18.4,1300.6,3698,3698,3698,3698,1230.1
325,6001444303,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA
326,6001444304,5445,293,1977,36.3,1712.7,5824,116,1928,33.1,1728.5,6408,6408,6408,6408,1799.1
327,6001444400,5649,264,2799,49.5,2237.9,5563,297,2706,48.6,2177.3,5367,5367,5367,5367,1936.6
328,6001444500,7537,347,3084,40.9,2731.1,7013,336,2114,30.1,2548.4,6988,6988,6988,6988,2663.3
329,6001444601,6095,167,915,15,1532.2,5974,222,416,7,1579.9,6081,6081,6081,6081,1545.4
330,6001444602,4662,256,435,9.3,1109.7,4667,251,362,7.8,1055.8,4935,4935,4935,4935,1094.6
331,6001450101,6163,234,321,5.2,1789.4,7108,219,383,5.4,2233.2,6883,6883,6883,6883,2069.9
332,6001450102,6076,639,489,8,1838.7,6701,688,474,7.1,2083,7376,7376,7376,7376,2397.8
333,6001450200,5297,437,319,6,1524.2,5470,328,148,2.7,1601.6,5272,5272,5272,5272,1479.9
334,6001450300,5239,344,482,9.2,1711.2,5434,349,336,6.2,1711,5374,5374,5374,5374,1617.1
